127.0.0.1 - - [09/Jan/2019:16:23:26 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/applicationContext-service-security.xml HTTP/1.1" 404 10075
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/style/authority/jquery.fancybox-1.3.4.css HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/scripts/fancybox/jquery.fancybox-1.3.4.pack.js HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/style/authority/basic_layout.css HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/scripts/fancybox/jquery.fancybox-1.3.4.js HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/andreas09/theme.css;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/scripts/global.js;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 3329
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/scripts/flash/chart/js/chart.js;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/scripts/scriptaculous.js;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/scripts/flash/chart/js/swfobject.js;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/scripts/jquery/jquery-1.7.1.js HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/scripts/dtree/dtree.js;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 3328
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/scripts/prototype.js;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 28902
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/WEB-INF/classes/style/authority/basic_layout.css HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/images/404.jpg;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 12852
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/andreas09/andreas09.css HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/displaytag.css HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/forms.css HTTP/1.1" 200 2114
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/andreas09/typo.css HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/messages.css HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/andreas09/dtree.css HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/andreas09/print.css;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:47 +0800] "GET /JServer/styles/calendar-aqua/theme.css HTTP/1.1" 404 9459
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:48 +0800] "GET /JServer/styles/andreas09/images/footerbg.jpg HTTP/1.1" 200 8334
0:0:0:0:0:0:0:1 - - [09/Jan/2019:16:25:48 +0800] "GET /JServer/images/favicon.ico;jsessionid=7CBFF6564F679AA5B6CB5A1661BD893F HTTP/1.1" 404 9459
